1_Ciliated	2_Ciliated	3_Ciliated	4_Ciliated	1_Secretory	2_Secretory	3_Secretory	Early_Secretory	1_Transitional	2_Transitional
CAPS	0.840901291029296	0.960953238140968	1.17533821172571	1.09793175435568	-0.660273878267549	-0.930635224536164	-1.09346618261491	-0.16777125786243	0.257097031623132	-1.48007498359373
C20orf85	0.914563012012002	0.888117161337291	1.2426220541254	1.06442910368484	-0.794986390033602	-0.960909730235446	-1.11849368898471	-0.106440421091822	0.223834330006655	-1.3527354308206
C9orf24	0.781228174468886	0.931928715144912	1.32282787350851	1.09553989832309	-0.770991659712786	-0.954117388587384	-1.07036135350909	-0.0804939449399894	0.122544263428133	-1.37810457812429
AGR2	1.09308500581235	0.962273510187604	0.432553052657137	1.34446801787904	-0.510720813348769	-0.353054349819506	-1.20730299922554	-0.189674008343125	0.155050845491849	-1.72667826129104
C1orf194	1.00714300047174	0.852044404803673	1.22548399504495	1.03855469381505	-0.670623077334403	-0.93757096181527	-1.04522415047352	-0.214388537936167	0.216093300670799	-1.47151266724685
TPPP3	0.948354953437428	0.817526000552295	1.19020330615047	0.995919977526615	-0.645251956736418	-0.903101724498389	-1.16637937380235	-0.0350659008299061	0.322902652865592	-1.52510793466534
FAM183A	1.0215369621481	0.821889630047581	1.20188757859456	1.06427877412205	-0.840309260603144	-1.02236142427046	-1.0124692760571	-0.0770000479514688	0.212324220361065	-1.36977715639117
RSPH1	1.00458461241894	0.942713272688839	1.09487499789946	1.09409751774549	-0.875362285268587	-0.963515586855022	-1.07257566878598	-0.134614123046897	0.245110266225033	-1.33531300302127
PIFO	0.95469153006759	0.873045526328619	1.25350963647178	1.09519791001541	-0.752471557620287	-1.01084184660138	-1.17017201777127	-0.230356495349472	0.212220497944905	-1.22482318348589
C11orf88	0.994718793311562	0.856450364928881	1.22044797153156	1.15472803531637	-0.784923695550956	-0.998790936690583	-0.97884328950204	-0.323241479477917	0.180529057873807	-1.32107482174069
SNTN	1.05951936234217	0.703192475726101	1.22552530226031	1.13089367648229	-0.792939876635787	-0.98359065849939	-1.17290613469043	-0.187928520878066	0.255087781344483	-1.23685340745168
